epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
161,926.842,0.95376,1.09224,0.00149,0.65923,0.6143,0.64229,0.51807,0.83983,1.19509,0.00144,0.000523586,0.000523586,0.000523586
162,930.393,1.02997,1.12633,0.00151,0.63547,0.62854,0.6429,0.52822,0.79831,1.1774,0.00137,0.000517927,0.000517927,0.000517927
163,934.117,1.03387,0.92094,0.00145,0.63547,0.62854,0.6429,0.52822,0.79831,1.1774,0.00137,0.000512268,0.000512268,0.000512268
164,937.64,1.05493,0.93855,0.0012,0.62162,0.65057,0.66126,0.54782,0.7641,1.14686,0.00134,0.000506609,0.000506609,0.000506609
165,942.137,0.90643,0.88437,0.00114,0.62162,0.65057,0.66126,0.54782,0.7641,1.14686,0.00134,0.00050095,0.00050095,0.00050095
166,945.406,0.97365,0.91437,0.0013,0.59686,0.66319,0.65814,0.54712,0.75986,1.14914,0.00135,0.000495291,0.000495291,0.000495291
167,949.228,0.93833,0.92422,0.0014,0.59686,0.66319,0.65814,0.54712,0.75986,1.14914,0.00135,0.000489633,0.000489633,0.000489633
168,953.991,1.00677,0.82752,0.00119,0.65412,0.60319,0.65527,0.54609,0.75481,1.16297,0.00134,0.000483974,0.000483974,0.000483974
169,957.578,0.90488,0.82628,0.00117,0.65412,0.60319,0.65527,0.54609,0.75481,1.16297,0.00134,0.000478315,0.000478315,0.000478315
170,961.188,0.8534,1.02263,0.00117,0.60698,0.62577,0.6555,0.54829,0.75297,1.19314,0.00131,0.000472656,0.000472656,0.000472656
171,964.705,0.92681,0.73105,0.00109,0.60698,0.62577,0.6555,0.54829,0.75297,1.19314,0.00131,0.000466997,0.000466997,0.000466997
172,969.086,0.93209,0.90315,0.00127,0.67286,0.57119,0.64327,0.53104,0.77982,1.22475,0.00135,0.000461338,0.000461338,0.000461338
173,972.694,0.83928,0.98622,0.00117,0.67286,0.57119,0.64327,0.53104,0.77982,1.22475,0.00135,0.00045568,0.00045568,0.00045568
174,976.056,0.88558,0.84887,0.00121,0.60112,0.626,0.63421,0.52195,0.79598,1.22061,0.00136,0.000450021,0.000450021,0.000450021
175,980.033,0.90152,0.79293,0.00111,0.60112,0.626,0.63421,0.52195,0.79598,1.22061,0.00136,0.000444362,0.000444362,0.000444362
176,984.085,0.89589,0.75055,0.00106,0.61316,0.61635,0.64422,0.53224,0.78352,1.19933,0.00132,0.000438703,0.000438703,0.000438703
177,987.435,0.92627,0.83847,0.0012,0.61316,0.61635,0.64422,0.53224,0.78352,1.19933,0.00132,0.000433044,0.000433044,0.000433044
178,991.341,0.89693,0.77758,0.0011,0.6415,0.5956,0.631,0.51985,0.76998,1.17809,0.0013,0.000427385,0.000427385,0.000427385
179,995.511,0.96664,1.03586,0.0013,0.6415,0.5956,0.631,0.51985,0.76998,1.17809,0.0013,0.000421726,0.000421726,0.000421726
180,999.124,0.92184,0.78755,0.00111,0.68207,0.56833,0.62603,0.51733,0.75541,1.16658,0.0013,0.000416068,0.000416068,0.000416068
181,1002.55,0.8921,0.85058,0.00114,0.68207,0.56833,0.62603,0.51733,0.75541,1.16658,0.0013,0.000410409,0.000410409,0.000410409
182,1007.2,1.01507,0.88437,0.00143,0.70103,0.54964,0.62531,0.51803,0.73183,1.1571,0.00127,0.00040475,0.00040475,0.00040475
183,1010.79,0.86475,0.75067,0.00113,0.70103,0.54964,0.62531,0.51803,0.73183,1.1571,0.00127,0.000399091,0.000399091,0.000399091
